"seccion_censal","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"76001100000000194301","4","2","1","5","2","6","5","8","7","5","2","4","2","5","3","5","2","2","2","2","1","3","1","4","1","2","1","3","1","1","1"
"76001100000000021801","4","4","2","4","8","7","3","9","2","2","4","2","2","2","1","8","3","4","3","3","2","2","5","5","3","2","3","2","5","3","6"
"76001100000000173604","4","7","9","6","8","3","6","9","9","6","9","6","2","6","6","3","5","3","5","3","3","2","4","2","1","5","2","3","1","1","4"
"76001100000000173402","4","15","18","19","16","24","12","23","16","20","15","24","22","21","11","14","17","22","21","12","22","10","14","14","11","11","8","14","6","8","9"
"76001100000000172401","3","1","1","2","1","2","5","5","2","2","6","1","3","0","1","3","2","2","2","0","1","1","0","0","2","2","2","1","0","1","0"
"76001100000000192201","3","1","3","2","0","3","2","3","1","3","3","3","3","2","1","3","1","2","0","0","1","0","1","5","1","0","1","0","0","0","1"
"76001100000000190901","3","1","5","1","3","2","7","1","5","2","3","4","1","1","2","2","0","1","2","2","4","1","2","3","1","1","1","2","1","1","2"
"76001100000000020801","3","1","9","3","3","8","1","3","4","2","3","2","0","1","1","1","1","0","0","1","0","1","0","1","0","0","1","1","0","0","2"
"76001100000000021201","3","2","0","2","3","2","1","3","3","1","0","7","0","0","4","1","1","2","5","4","2","0","2","2","5","2","3","2","1","1","1"
"76001100000000190701","3","3","4","4","4","0","4","10","2","4","1","0","4","3","0","0","2","1","1","2","0","0","2","0","1","2","1","1","2","0","0"
"76001100000000191501","3","4","4","4","7","1","8","7","10","6","5","3","7","10","8","19","10","8","15","4","8","8","6","3","3","5","5","5","2","5","3"
"76001100000000170803","3","4","7","6","3","7","6","5","7","8","13","5","10","4","7","4","10","5","4","6","5","2","5","9","7","2","2","4","6","2","2"
"76001100000000193801","3","5","3","2","4","3","2","2","5","2","2","1","1","0","0","2","0","0","1","0","0","1","3","1","1","2","1","0","1","2","0"
"76001100000000170402","3","11","7","2","7","8","13","8","11","8","15","10","9","7","7","8","4","9","5","7","2","3","8","5","1","6","1","2","4","3","1"
"76001100000000022302","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0"
"76001100000000173002","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"76001100000000050301","2","0","0","1","1","2","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"76001100000000031101","2","0","2","0","1","0","1","2","1","1","1","3","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0"
"76001100000000021204","2","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000020903","2","2","0","1","1","0","0","0","1","2","0","1","0","0","2","1","0","0","1","1","1","1","2","0","0","0","0","1","1","0","0"
"76001100000000022003","2","3","0","1","0","2","1","1","2","1","0","3","0","0","0","0","0","0","0","1","0","1","1","2","0","0","0","0","0","0","0"
"76001100000000193301","2","3","1","4","5","2","1","4","5","1","3","0","3","2","3","1","4","3","1","1","1","3","1","1","0","1","4","2","1","0","0"
"76001100000000193901","2","3","2","0","0","0","4","3","3","2","2","2","2","2","1","1","1","0","2","2","0","1","1","1","0","0","0","0","1","0","0"
"76001100000000192601","2","4","4","1","4","3","3","5","2","3","6","4","5","5","4","4","1","2","2","1","6","2","1","0","2","0","3","2","1","1","2"
"76001100000000020901","2","5","5","9","9","5","7","7","3","3","4","3","2","0","1","4","2","3","3","3","0","1","1","0","4","0","1","4","0","0","1"
"76001100000000170601","2","5","5","9","10","7","12","10","19","11","12","20","11","11","12","21","12","8","20","17","15","13","13","9","12","7","11","6","10","7","6"
"76001100000000191601","2","6","3","5","6","2","6","5","2","7","9","4","12","0","8","2","6","2","3","7","6","3","5","2","5","5","3","4","2","8","1"
"76001100000000194403","2","8","8","8","8","7","2","6","3","7","8","5","3","2","8","4","4","10","5","11","2","9","7","6","7","6","6","8","9","9","8"
"76001100000000171603","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"76001100000000193601","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050503","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"76001100000000170302","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","1","0"
"76001100000000050903","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050201","1","0","0","1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"76001100000000190101","1","0","0","3","1","1","0","2","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"76001100000000193702","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"76001100000000020904","1","0","1","4","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"76001100000000021501","1","0","2","0","1","1","1","1","2","1","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","1","1"
"76001100000000171606","1","0","3","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","2","1","3","0","1","0","0","1","0"
"76001100000000190102","1","0","3","3","0","1","0","1","3","0","0","1","3","0","1","1","0","0","2","0","1","1","0","1","1","1","0","0","1","0","0"
"76001100000000022101","1","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"76001100000000192602","1","1","1","1","1","1","1","0","0","0","2","2","0","0","0","1","2","1","1","3","1","1","0","1","0","0","1","1","0","0","0"
"76001100000000194003","1","1","1","2","0","0","1","0","0","4","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"76001100000000171302","1","1","1","3","5","0","0","1","0","0","1","2","1","3","1","2","1","1","0","0","0","0","2","1","2","0","0","1","1","0","1"
"76001100000000170503","1","1","2","2","0","0","0","1","1","1","2","1","3","1","1","1","2","0","0","1","2","1","0","0","0","0","1","1","1","1","1"
"76001100000000051002","1","2","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"76001100000000021202","1","2","1","1","0","1","0","0","2","1","1","1","0","2","0","1","3","0","1","0","0","1","0","3","0","0","0","1","0","0","0"
"76001100000000194101","1","2","3","5","2","7","4","7","3","2","3","2","1","2","4","3","2","1","0","1","0","4","1","2","1","3","0","1","1","0","0"
"76001100000000021703","1","2","4","5","6","4","7","1","0","2","11","1","0","1","3","0","3","0","1","0","2","3","1","1","1","2","2","1","1","1","2"
"76001100000000170802","1","5","3","1","3","4","2","3","5","3","1","2","2","2","3","3","1","1","0","3","2","2","0","1","1","3","3","1","0","0","1"
"76001100000000050502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"76001100000000050603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"76001100000000021704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"76001100000000021601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"76001100000000022301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000030701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0"
"76001100000000050902","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000051001","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"76001100000000031703","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050506","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1"
"76001100000000100302","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000160502","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000171604","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050601","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"76001100000000050501","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"76001100000000051101","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050605","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"76001100000000191001","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000022303","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000030901","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000170505","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"76001100000000031001","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000190103","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"76001100000000051102","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"76001100000000171601","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"76001100000000021001","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","0","0"
"76001100000000050102","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000051103","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"76001100000000050904","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000030601","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000031201","0","0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000031401","0","0","0","0","0","1","2","1","1","2","0","0","0","0","1","0","1","0","0","0","0","1","0","2","0","0","0","1","1","0","0"
"76001100000000172701","0","0","0","0","0","2","2","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0"
"76001100000000192401","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050702","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"76001100000000030802","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000021203","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"76001100000000172901","0","0","0","0","1","1","1","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000030602","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000193302","0","0","0","0","3","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000031601","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000022201","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0"
"76001100000000050701","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050402","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0"
"76001100000000020402","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"76001100000000031701","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"76001100000000050606","0","0","0","1","0","0","1","0","0","1","0","0","0","1","2","0","1","1","1","0","0","1","0","0","1","0","0","0","0","0","0"
"76001100000000193701","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"76001100000000172802","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"76001100000000021205","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"76001100000000171201","0","0","0","1","3","0","2","0","4","2","3","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000030702","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000022202","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000030902","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"76001100000000173610","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"76001100000000050801","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050802","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050703","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"76001100000000050103","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"76001100000000170303","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"76001100000000173608","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"76001100000000022204","0","0","1","0","1","0","3","1","4","0","2","1","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"76001100000000193602","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000031301","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"76001100000000022102","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
"76001100000000030801","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"76001100000000031202","0","0","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"76001100000000031705","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000031501","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000050507","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"76001100000000173302","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"76001100000000193501","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"76001100000000031702","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000173001","0","1","0","0","1","0","2","0","1","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"76001100000000194402","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","2","0","0","0","2","0","1","0","0","1","0"
"76001100000000170703","0","1","1","0","1","1","1","1","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0"
"76001100000000201402","0","1","2","0","1","2","0","1","0","1","1","0","0","1","0","0","0","1","1","0","1","0","3","0","0","0","0","0","0","0","2"
"76001100000000193502","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"76001100000000050101","0","2","0","0","0","0","0","0","1","1","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000172801","0","2","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76001100000000192503","0","2","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","1","0","0","1","1","0"
